Price,Rating,No_of_ratings,TotalReviews,RamSize (GB),RomSize (GB)
17999,4.4,449,80,8.0,128.0
7999,4.3,549,40,2.0,32.0
8999,4.3,61879,3488,4.0,64.0
30199,4.3,754,91,8.0,128.0
7999,4.2,544,32,2.0,32.0
23499,4.4,27012,3068,8.0,128.0
21499,4.4,30596,3739,6.0,128.0
23499,4.4,27012,3068,8.0,128.0
25499,4.4,27012,3068,8.0,256.0
12999,4.4,159779,9431,4.0,128.0
15399,4.2,2082,170,6.0,64.0
10499,4.2,4552,308,6.0,128.0
24999,4.3,14613,1579,8.0,128.0
18300,4.2,7179,613,6.0,128.0
13999,4.2,7196,925,8.0,128.0
13999,4.2,7196,925,8.0,128.0
24998,4.2,310,26,6.0,128.0
24999,4.5,4381,565,6.0,128.0
14999,4.2,2968,337,8.0,256.0
19999,4.4,25528,2116,6.0,128.0
19999,4.4,25528,2116,6.0,128.0
7499,4.5,3975,143,2.0,32.0
8999,4.3,575907,33942,4.0,64.0
8999,4.3,204720,11070,4.0,64.0
8999,4.3,204720,11070,4.0,64.0
2450,4.0,18315,2667,64.0,128.0
9499,3.7,26741,3220,4.0,64.0
24830,4.2,874,126,6.0,128.0
11499,4.2,831,107,4.0,64.0
17990,4.2,275,19,6.0,128.0
30329,4.3,754,91,8.0,128.0
10999,4.5,46231,2216,4.0,64.0
11999,4.5,46231,2216,4.0,128.0
14838,4.1,402,28,6.0,128.0
19722,4.3,784,58,8.0,128.0
16990,4.4,2462,175,8.0,128.0
10999,4.3,2782,214,4.0,64.0
5766,4.3,43,3,2.0,32.0
11490,4.2,1860,131,4.0,64.0
22999,4.3,2263,210,8.0,128.0
22999,4.3,2263,210,8.0,128.0
7499,4.2,5872,437,3.0,32.0
12990,4.3,3670,262,4.0,64.0
15829,4.2,872,85,8.0,128.0
10999,4.3,2782,214,4.0,64.0
16999,4.2,21817,2541,6.0,128.0
12990,4.3,3670,262,4.0,64.0
23999,4.4,7325,702,6.0,128.0
16999,4.3,4970,354,6.0,128.0
9948,4.1,1047,75,3.0,32.0
12999,4.5,14747,936,4.0,64.0
15499,4.4,7120,534,6.0,128.0
19900,4.3,843,67,6.0,128.0
25499,4.4,27012,3068,8.0,256.0
10999,4.5,46231,2216,4.0,64.0
11999,4.5,46231,2216,4.0,128.0
20295,4.2,5366,457,6.0,128.0
10417,4.0,548,37,6.0,128.0
16499,4.3,75662,6017,4.0,128.0
8998,4.2,7695,484,4.0,64.0
5699,4.2,466,29,2.0,32.0
9999,4.2,9079,644,4.0,64.0
9189,4.2,21,0,4.0,64.0
29999,4.3,32029,4184,8.0,128.0
29999,4.3,32029,4184,8.0,128.0
6485,4.2,667,41,2.0,32.0
18499,4.1,307,23,8.0,128.0
17490,4.2,7179,613,6.0,128.0
11999,4.3,30409,1886,6.0,64.0
12999,4.3,1359,93,6.0,128.0
13949,4.1,503,32,8.0,128.0
21999,4.1,14202,1467,8.0,128.0
13999,4.3,26637,1828,4.0,128.0
17999,4.3,41637,3899,6.0,128.0
20999,4.3,13963,1127,8.0,128.0
8849,3.8,1332,161,4.0,64.0
16700,4.2,872,85,8.0,128.0
6789,4.1,24369,1859,2.0,32.0
14888,4.1,402,28,6.0,128.0
20999,4.3,13963,1127,8.0,128.0
16999,4.3,4970,354,6.0,128.0
17830,4.2,978,80,6.0,128.0
11499,4.2,831,107,4.0,64.0
7499,4.4,296108,14044,2.0,32.0
13999,4.5,171965,10805,4.0,64.0
